codigo_municipio,anio,nivel_educativo,poblacion_edad_escolar,estudiantes_matriculados,matriculados_sector_publico,matriculados_sector_privado,zona_urbana,zona_rural,total_centros_publicos,total_centros_privados,distancia_promedio_km
MUN-0101,2024,Secundario,35000,32500,26800,5700,30200,2300,45,28,1.2
MUN-0101,2024,Primario,42000,40500,33200,7300,38100,2400,52,32,1.1
MUN-3201,2024,Secundario,48000,43200,37800,5400,39800,3400,58,18,2.3
MUN-3201,2024,Primario,56000,53400,47200,6200,49500,3900,67,22,2.1
MUN-3202,2024,Secundario,38000,33100,30400,2700,28900,4200,42,8,3.5
MUN-3202,2024,Primario,45000,42300,39800,2500,37200,5100,51,11,3.2
MUN-3203,2024,Secundario,42000,37800,34500,3300,33400,4400,48,12,2.8
MUN-3203,2024,Primario,50000,47200,43800,3400,42100,5100,56,15,2.6
MUN-0201,2024,Secundario,12000,9840,9350,490,7200,2640,18,3,5.8
MUN-0201,2024,Primario,15000,13800,13200,600,10500,3300,22,4,5.2
MUN-0301,2024,Secundario,7200,5760,5580,180,3890,1870,12,1,7.4
MUN-0301,2024,Primario,9000,8100,7920,180,5400,2700,15,2,6.8
MUN-0401,2024,Secundario,11000,9350,8920,430,6780,2570,16,2,4.9
MUN-0401,2024,Primario,14000,13020,12450,570,9800,3220,20,3,4.5
